人民币	人民币 ￥
全莲花坐	全莲花坐 🧘‍♀ 🧘 🧘‍♂
冥想	冥想 🧘‍♀ 🧘 🧘‍♂
打坐	打坐 🧘‍♀ 🧘 🧘‍♂
瑜伽	瑜伽 🧘‍♀ 🧘 🧘‍♂
瑜伽女	瑜伽女 🧘‍♀ 🧘
瑜伽男	瑜伽男 🧘‍♂
盘腿	盘腿 🧘‍♀ 🧘 🧘‍♂
盘腿的女人	盘腿的女人 🧘‍♀ 🧘
盘腿的男人	盘腿的男人 🧘‍♂
莲花坐	莲花坐 🧘‍♀ 🧘 🧘‍♂
莲花坐的人	莲花坐的人 🧘‍♀ 🧘 🧘‍♂
冲浪	冲浪 🏄‍♀ 🏄 🏄‍♂
女生冲浪	女生冲浪 🏄‍♀ 🏄
男生冲浪	男生冲浪 🏄‍♂
冲浪者	冲浪者 🏄‍♀ 🏄 🏄‍♂
泳客	泳客 🏊‍♀ 🏊 🏊‍♂
游泳	游泳 🏊‍♀ 🏊 🏊‍♂
女生游泳	女生游泳 🏊‍♀ 🏊
男生游泳	男生游泳 🏊‍♂
游泳者	游泳者 🏊‍♀ 🏊 🏊‍♂
水球	水球 🤽‍♀ 🤽 🤽‍♂
玩水球	玩水球 🤽‍♀ 🤽 🤽‍♂
女生玩水球	女生玩水球 🤽‍♀ 🤽
男生玩水球	男生玩水球 🤽‍♂
划船	划船 🚣‍♀ 🚣 🚣‍♂
划艇	划艇 🚣‍♀ 🚣 🚣‍♂
泛舟	泛舟 🚣‍♀ 🚣 🚣‍♂
攀山	攀山 🧗‍♀ 🧗 🧗‍♂
攀岩者	攀岩者 🧗‍♀ 🧗 🧗‍♂
攀爬的人	攀爬的人 🧗‍♀ 🧗 🧗‍♂
爬山	爬山 🧗‍♀ 🧗 🧗‍♂
爬山者	爬山者 🧗‍♀ 🧗 🧗‍♂
登山	登山 🧗‍♀ 🧗 🧗‍♂
登山者	登山者 🧗‍♀ 🧗 🧗‍♂
攀爬的女人	攀爬的女人 🧗‍♀ 🧗
攀爬的男人	攀爬的男人 🧗‍♂
山地自行车	山地自行车 🚵‍♀ 🚵 🚵‍♂
山地车	山地车 🚵‍♀ 🚵 🚵‍♂
骑山地车	骑山地车 🚵‍♀ 🚵 🚵‍♂
骑单车	骑单车 🚴‍♀ 🚴 🚴‍♂
骑自行车	骑自行车 🚴‍♀ 🚴 🚴‍♂
骑车	骑车 🚴‍♀ 🚴 🚴‍♂
冠军	冠军 🏆
奖杯	奖杯 🏆
金牌	金牌 🥇
银牌	银牌 🥈
铜牌	铜牌 🥉
奖牌	奖牌 🏅
运动会奖牌	运动会奖牌 🏅
军功章	军功章 🎖
勋章	勋章 🎖
鞠躬勋章	鞠躬勋章 🎖
玫瑰花结	玫瑰花结 🏵
花结	花结 🏵
丝带	丝带 🎗
黄丝带	黄丝带 🎗
门票	门票 🎫
入场券	入场券 🎟
马戏	马戏 🎪
马戏团	马戏团 🎪
马戏团帐篷	马戏团帐篷 🎪
抛接	抛接 🤹‍♀ 🤹 🤹‍♂
抛接杂耍	抛接杂耍 🤹‍♀ 🤹 🤹‍♂
杂耍	杂耍 🤹‍♀ 🤹 🤹‍♂
表演艺术	表演艺术 🎭
面具	面具 🎭
芭蕾舞鞋	芭蕾舞鞋 🩰
足尖鞋	足尖鞋 🩰
画画	画画 🎨
美术	美术 🎨
艺术	艺术 🎨
调色板	调色板 🎨
调色盘	调色盘 🎨
action	action 🎬
场记	场记 🎬
场记板	场记板 🎬
打板	打板 🎬
拍电影	拍电影 🎬
麦克风	麦克风 🎤 🎙
头戴式耳机	头戴式耳机 🎧
耳机	耳机 🎧
乐谱	乐谱 🎼
五线谱	五线谱 🎼
琴键	琴键 🎹
钢琴	钢琴 🎹
钢琴按键	钢琴按键 🎹
钢琴键	钢琴键 🎹
音乐键盘	音乐键盘 🎹
沙锤	沙锤 🪇
打鼓	打鼓 🥁
敲鼓	敲鼓 🥁
鼓	鼓 🥁
康加鼓	康加鼓 🪘
长鼓	长鼓 🪘
管弦乐器	管弦乐器 🎷
萨克斯	萨克斯 🎷
萨克斯管	萨克斯管 🎷
萨克斯风	萨克斯风 🎷
小号	小号 🎺
手风琴	手风琴 🪗
吉他	吉他 🎸
电吉他	电吉他 🎸
班卓琴	班卓琴 🪕
小提琴	小提琴 🎻
提琴	提琴 🎻
竖笛	竖笛 🪈
笛子	笛子 🪈
长笛	长笛 🪈
色子	色子 🎲
赌博	赌博 🎲 🎰
酒桌游戏	酒桌游戏 🎲
骰子	骰子 🎲
国际象棋	国际象棋 ♟
国际象棋兵	国际象棋兵 ♟
命中	命中 🎯
正中靶心的飞镖	正中靶心的飞镖 🎯
靶心	靶心 🎯
飞镖	飞镖 🎯
保龄球	保龄球 🎳
保龄球瓶	保龄球瓶 🎳
手柄	手柄 🎮
游戏手柄	游戏手柄 🎮
电子游戏手柄	电子游戏手柄 🎮
视频游戏手柄	视频游戏手柄 🎮
老虎机	老虎机 🎰
赌场	赌场 🎰
拼图	拼图 🧩
拼图块	拼图块 🧩
拼块	拼块 🧩
小汽车	小汽车 🚗 🚘
小轿车	小轿车 🚗 🚘
汽车	汽车 🚗 🚘
私家车	私家车 🚗 🚘
车	车 🚗
轿车	轿车 🚗 🚘
出租车	出租车 🚕 🚖
的士	的士 🚕 🚖
SUV	SUV 🚙
休闲车	休闲车 🚙
旅行车	旅行车 🚙
越野车	越野车 🚙
运动型多用途车	运动型多用途车 🚙
公交车	公交车 🚌 🚍
公共汽车	公共汽车 🚌 🚍
公车	公车 🚌 🚍
大巴	大巴 🚌 🚍
客车	客车 🚌 🚍
客运车	客运车 🚌 🚍
巴士	巴士 🚌 🚍
无轨电车	无轨电车 🚎
电车	电车 🚎
方程式赛车	方程式赛车 🏎
赛车	赛车 🏎
警车	警车 🚓 🚔
急救车	急救车 🚑
救护车	救护车 🚑
救火车	救火车 🚒
消防车	消防车 🚒
五菱	五菱 🚐
五菱宏光	五菱宏光 🚐
小巴	小巴 🚐
面包车	面包车 🚐
皮卡	皮卡 🛻
皮卡车	皮卡车 🛻
物流	物流 🚚
货车	货车 🚚
送货车	送货车 🚚
卡车	卡车 🚛
大卡车	大卡车 🚛
拖车	拖车 🚛
拖拉机	拖拉机 🚜
手杖	手杖 🦯
白手杖	白手杖 🦯
残疾人	残疾人 🦽 🦼 ♿
轮椅	轮椅 🦽 🦼
拐杖	拐杖 🩼
滑板车	滑板车 🛴
单车	单车 🚲
脚踏车	脚踏车 🚲
自行车	自行车 🚲
小型摩托车	小型摩托车 🛵
小电驴	小电驴 🛵
电动车	电动车 🛵
电摩	电摩 🛵
电瓶车	电瓶车 🛵
电轻摩	电轻摩 🛵
摩托	摩托 🏍
摩托车	摩托车 🏍
三脚鸡	三脚鸡 🛺
三蹦子	三蹦子 🛺
三轮摩托车	三轮摩托车 🛺
三轮车	三轮车 🛺
嘟嘟车	嘟嘟车 🛺
自动人力车	自动人力车 🛺
车轮	车轮 🛞
车轮子	车轮子 🛞
车轱辘	车轱辘 🛞
轮子	轮子 🛞
轮胎	轮胎 🛞
轱辘	轱辘 🛞
报警灯	报警灯 🚨
警灯	警灯 🚨
警车旋转灯	警车旋转灯 🚨
警车灯	警车灯 🚨
报警	报警 🚔
空中缆车	空中缆车 🚡
缆车	缆车 🚡 🚠
高山索道	高山索道 🚠
空中轨道列车	空中轨道列车 🚟
空轨	空轨 🚟
高架铁路	高架铁路 🚟
轨道车	轨道车 🚃
有轨电车	有轨电车 🚋 🚊
山区铁路	山区铁路 🚞
单轨	单轨 🚝
单轨铁路	单轨铁路 🚝
列车	列车 🚄 🚅
动车	动车 🚄 🚅
新干线	新干线 🚄 🚅
高速列车	高速列车 🚄 🚅
高铁	高铁 🚄 🚅
子弹头高速列车	子弹头高速列车 🚅
高速子弹头列车	高速子弹头列车 🚅
轻轨	轻轨 🚈
轻轨电车	轻轨电车 🚈
蒸汽火车	蒸汽火车 🚂
火车	火车 🚆
绿皮火车	绿皮火车 🚆
地下铁路	地下铁路 🚇
地铁	地铁 🚇
火车站	火车站 🚉
站台	站台 🚉
车站	车站 🚉
旅行	旅行 ✈️
飞机	飞机 ✈️
航班起飞	航班起飞 🛫
起飞	起飞 🛫
飞机起飞	飞机起飞 🛫
着陆	着陆 🛬
航班降落	航班降落 🛬
降落	降落 🛬
飞机着陆	飞机着陆 🛬
小型飞机	小型飞机 🛩
座位	座位 💺
卫星	卫星 🛰
rocket	rocket 🚀
火箭	火箭 🚀
UFO	UFO 🛸
不明飞行物	不明飞行物 🛸
飞碟	飞碟 🛸
直升机	直升机 🚁
直升飞机	直升飞机 🚁
独木舟	独木舟 🛶
帆船	帆船 ⛵
快艇	快艇 🚤
赛艇	赛艇 🚤
摩托艇	摩托艇 🛥
客船	客船 🛳
客轮	客轮 🛳
渡船	渡船 ⛴
渡轮	渡轮 ⛴
轮渡	轮渡 ⛴
海运	海运 🚢
船	船 🚢
轮船	轮船 🚢
邮轮	邮轮 🚢
救生	救生 🛟
救生圈	救生圈 🛟
泳圈	泳圈 🛟
游泳圈	游泳圈 🛟
船锚	船锚 ⚓
锚	锚 ⚓
弯钩	弯钩 🪝
挂钩	挂钩 🪝
钩子	钩子 🪝
铁钩	铁钩 🪝
加油站	加油站 ⛽
石油	石油 ⛽
前方施工	前方施工 🚧
施工	施工 🚧 🏗
施工中	施工中 🚧
施工符号	施工符号 🚧
路障	路障 🚧
交通信号灯	交通信号灯 🚦 🚥
交通灯	交通灯 🚦 🚥
信号灯	信号灯 🚦 🚥
红绿灯	红绿灯 🚦 🚥
公交站	公交站 🚏
公交车站	公交车站 🚏
公共汽车站	公共汽车站 🚏
世界地图	世界地图 🗺
复活岛	复活岛 🗿
复活节岛	复活节岛 🗿
复活节岛石像	复活节岛石像 🗿
摩艾石像	摩艾石像 🗿
自由女神	自由女神 🗽
自由女神像	自由女神像 🗽
东京塔	东京塔 🗼
城堡	城堡 🏰 🏯
欧式城堡	欧式城堡 🏰
欧洲城堡	欧洲城堡 🏰
日式城堡	日式城堡 🏯
日本城堡	日本城堡 🏯
体育场	体育场 🏟
体育馆	体育馆 🏟
足球场	足球场 🏟
摩天轮	摩天轮 🎡
过山车	过山车 🎢
旋转木马	旋转木马 🎠
游乐园	游乐园 🎠
公园	公园 ⛲
喷泉	喷泉 ⛲
沙滩伞	沙滩伞 ⛱️ 🏖
遮阳伞	遮阳伞 ⛱️
太阳伞	太阳伞 🏖
度假	度假 🏖
无人岛	无人岛 🏝
无人荒岛	无人荒岛 🏝
荒岛	荒岛 🏝
沙漠	沙漠 🏜
荒漠	荒漠 🏜
火山	火山 🌋
火山喷发	火山喷发 🌋
火山爆发	火山爆发 🌋
山	山 ⛰️
山峰	山峰 ⛰️
山脉	山脉 ⛰️
山顶	山顶 ⛰️
雪山	雪山 🏔
高山	高山 🏔
富士山	富士山 🗻
野营	野营 🏕
露营	露营 🏕
帐篷	帐篷 ⛺
小屋	小屋 🛖
草屋	草屋 🛖
蒙古包	蒙古包 🛖
住宅楼	住宅楼 🏠
家	家 🏠
房子	房子 🏠
房屋	房屋 🏠
别墅	别墅 🏡
带花园的楼房	带花园的楼房 🏡
居民区	居民区 🏘
房屋群	房屋群 🏘
危楼	危楼 🏚
废弃的房屋	废弃的房屋 🏚
荒宅	荒宅 🏚
建筑施工	建筑施工 🏗
起重机	起重机 🏗
工厂	工厂 🏭
写字楼	写字楼 🏢
办公楼	办公楼 🏢
商场	商场 🏬
商超	商超 🏬
百货商店	百货商店 🏬
超市	超市 🏬
日本邮局	日本邮局 🏣
邮局	邮局 🏣 🏤
欧洲邮局	欧洲邮局 🏤
医院	医院 🏥
银行	银行 🏦
宾馆	宾馆 🏨
旅店	旅店 🏨
旅馆	旅馆 🏨
酒店	酒店 🏨
便利商店	便利商店 🏪
便利店	便利店 🏪
商店	商店 🏪
小商店	小商店 🏪
学校	学校 🏫
教学楼	教学楼 🏫
情人宾馆	情人宾馆 🏩
情人旅店	情人旅店 🏩
情人旅馆	情人旅馆 🏩
情人酒店	情人酒店 🏩
情侣宾馆	情侣宾馆 🏩
情侣旅店	情侣旅店 🏩
情侣旅馆	情侣旅馆 🏩
情侣酒店	情侣酒店 🏩
爱情宾馆	爱情宾馆 🏩
爱情旅店	爱情旅店 🏩
爱情旅馆	爱情旅馆 🏩
爱情酒店	爱情酒店 🏩
婚礼	婚礼 💒
教堂	教堂 💒 ⛪
博物馆	博物馆 🏛 
古典建筑	古典建筑 🏛
古建筑	古建筑 🏛
圣堂	圣堂 ⛪
清真	清真 🕌
清真寺	清真寺 🕌
犹太教会堂	犹太教会堂 🕍
犹太教堂	犹太教堂 🕍
佛寺	佛寺 🛕
印度寺庙	印度寺庙 🛕
印度庙	印度庙 🛕
庙宇	庙宇 🛕
克尔白	克尔白 🕋
日本神社	日本神社 ⛩
神社	神社 ⛩
铁轨	铁轨 🛤
公路	公路 🛣
高速	高速 🛣
高速公路	高速公路 🛣
日本剪影	日本剪影 🗾
日本地图	日本地图 🗾
中秋	中秋 🎑
中秋佳节	中秋佳节 🎑
中秋节	中秋节 🎑
观月	观月 🎑
赏月	赏月 🎑
国家公园	国家公园 🏞
日出	日出 🌅 🌄
旭日	旭日 🌅 🌄
旭日东升	旭日东升 🌅 🌄
大山日出	大山日出 🌄
山中日出	山中日出 🌄
山顶日出	山顶日出 🌄
流星	流星 🌠
许愿	许愿 🌠
烟花	烟花 🎇 🎆
焰火	焰火 🎇 🎆
礼花	礼花 🎇 🎆
夕阳	夕阳 🌇
大厦夕阳	大厦夕阳 🌇
日落	日落 🌇
落日	落日 🌇
傍晚	傍晚 🌆
暮色	暮色 🌆
暮色中的城市	暮色中的城市 🌆
黄昏	黄昏 🌆
城市	城市 🏙
城市景观	城市景观 🏙
城市风光	城市风光 🏙
都市	都市 🏙
都市景观	都市景观 🏙
都市风光	都市风光 🏙
半夜	半夜 🌃
夜晚	夜晚 🌃
星光闪闪的夜晚	星光闪闪的夜晚 🌃
晚上	晚上 🌃
深夜	深夜 🌃
星空	星空 🌌
银河	银河 🌌
银河系	银河系 🌌
夜幕下的桥	夜幕下的桥 🌉
夜间大桥	夜间大桥 🌉
夜间的大桥	夜间的大桥 🌉
大桥	大桥 🌉
桥	桥 
雾气	雾气 🌁
雾气笼罩的桥	雾气笼罩的桥 🌁
雾蒙蒙	雾蒙蒙 🌁
雾都	雾都 🌁
手表	手表 ⌚
时间	时间 ⌚
手机	手机 📱
智能手机	智能手机 📱
移动电话	移动电话 📱
手机来电	手机来电 📲
来电	来电 📲
个人电脑	个人电脑 💻
手提电脑	手提电脑 💻
电脑	电脑 💻 🖥
笔电	笔电 💻
笔记本电脑	笔记本电脑 💻
电脑键盘	电脑键盘 ⌨️
键盘	键盘 ⌨️
台式电脑	台式电脑 🖥
显示器	显示器 🖥
显示屏	显示屏 🖥
计算机	计算机 🖥
印刷机	印刷机 🖨
打印机	打印机 🖨
电脑鼠标	电脑鼠标 🖱
鼠标	鼠标 🖱
轨迹球	轨迹球 🖲
摇杆	摇杆 🕹
操控杆	操控杆 🕹
游戏摇杆	游戏摇杆 🕹
游戏操控杆	游戏操控杆 🕹
夹钳	夹钳 🗜
光盘	光盘 💽
光碟	光碟 💽
电脑光盘	电脑光盘 💽
迷你光盘	迷你光盘 💽
迷你光碟	迷你光碟 💽
软盘	软盘 💾
CD	CD 💿
DVD	DVD 📀
录像带	录像带 📼
录影带	录影带 📼
磁带	磁带 📼
卡片相机	卡片相机 📷
照相机	照相机 📷
相机	相机 📷
开闪光灯的相机	开闪光灯的相机 📸
拍照	拍照 📸
闪光灯	闪光灯 📸
闪光灯打开	闪光灯打开 📸
摄像机	摄像机 📹 🎥
摄录机	摄录机 🎥
摄影机	摄影机 🎥
电影摄影机	电影摄影机 🎥
上映	上映 📽
放映机	放映机 📽
电影放映机	电影放映机 📽
电影	电影 🎞
电影胶片	电影胶片 🎞
胶卷	胶卷 🎞
胶片	胶片 🎞
菲林	菲林 🎞
电话听筒	电话听筒 📞
电话筒	电话筒 📞
固定电话	固定电话 ☎️
固话	固话 ☎️
座机	座机 ☎️
电话	电话 ☎️
传呼机	传呼机 📟
呼机	呼机 📟
寻呼机	寻呼机 📟
传真	传真 📠
传真机	传真机 📠
发传真	发传真 📠
TV	TV 📺
电视	电视 📺
电视机	电视机 📺
收音机	收音机 📻
无线电	无线电 📻
电台	电台 📻
录音室麦克风	录音室麦克风 🎙
录音麦克风	录音麦克风 🎙
滑块	滑块 🎚
电平滑块	电平滑块 🎚
控制旋钮	控制旋钮 🎛
旋钮	旋钮 🎛
指北针	指北针 🧭
指南针	指南针 🧭
方向	方向 🧭
罗盘	罗盘 🧭
秒表	秒表 ⏱
计时器	计时器 ⏱
定时器	定时器 ⏲
闹钟	闹钟 ⏰
台钟	台钟 🕰
壁炉钟	壁炉钟 🕰
座钟	座钟 🕰
沙漏	沙漏 ⌛ ⏳
卫星天线	卫星天线 📡
天线	天线 📡
接收天线	接收天线 📡
电池	电池 🔋
电源	电源 🔋 🔌
电量	电量 🔋 🪫
蓄电池	蓄电池 🔋
低电量	低电量 🪫
电池不足	电池不足 🪫
电量不足	电量不足 🪫
电量低	电量低 🪫
插头	插头 🔌
电插头	电插头 🔌
电源插头	电源插头 🔌
灯	灯 💡
灯泡	灯泡 💡
照明	照明 💡 🔦
电灯	电灯 💡
电灯泡	电灯泡 💡
白炽灯	白炽灯 💡
手电	手电 🔦
手电筒	手电筒 🔦
电筒	电筒 🔦
烛光	烛光 🕯
烛火	烛火 🕯
蜡烛	蜡烛 🕯
油灯	油灯 🪔
灭火器	灭火器 🧯
油桶	油桶 🛢
翅膀钱	翅膀钱 💸
花钱	花钱 💸
钱飞了	钱飞了 💸
长了翅膀的钱	长了翅膀的钱 💸
长翅膀的钱	长翅膀的钱 💸
纸币	纸币 💵 💴 💶 💷
钞票	钞票 💵 💴 💶 💷
美元钞票	美元钞票 💵
日元钞票	日元钞票 💴
欧元钞票	欧元钞票 💶
英镑钞票	英镑钞票 💷
硬币	硬币 🪙
钢镚	钢镚 🪙
钱币	钱币 🪙
money	money 💰
奖金	奖金 💰
工资	工资 💰
金钱	金钱 💰 💲
钱	钱 💰
钱袋	钱袋 💰
信用卡	信用卡 💳
借记卡	借记卡 💳
贷记卡	贷记卡 💳
银行卡	银行卡 💳
ID	ID 🪪 🆔
执照	执照 🪪
证件	证件 🪪
证照	证照 🪪
身份证	身份证 🪪 🆔
驾照	驾照 🪪
宝石	宝石 💎
钻石	钻石 💎
天平	天平 ⚖️
搭梯子	搭梯子 🪜
梯子	梯子 🪜
爬梯	爬梯 🪜
爬梯子	爬梯子 🪜
科学上网	科学上网 🪜
翻墙	翻墙 🪜
魔法上网	魔法上网 🪜
工具箱	工具箱 🧰
螺丝刀	螺丝刀 🪛
扳手	扳手 🔧
螺丝扳手	螺丝扳手 🔧
铁锤	铁锤 🔨
锤子	锤子 🔨
锤子与镐	锤子与镐 ⚒️
锤子和镐	锤子和镐 ⚒️
工具	工具 🛠
锤子与扳手	锤子与扳手 🛠
锤子和扳手	锤子和扳手 🛠
锤子扳手	锤子扳手 🛠
铁镐	铁镐 ⛏️
锄头	锄头 ⛏️
鹤嘴锄	鹤嘴锄 ⛏️
手锯	手锯 🪚
锯子	锯子 🪚
螺母与螺栓	螺母与螺栓 🔩
螺母及螺栓	螺母及螺栓 🔩
螺母和螺栓	螺母和螺栓 🔩
螺母螺栓	螺母螺栓 🔩
齿轮	齿轮 ⚙️
捕鼠器	捕鼠器 🪤
板砖	板砖 🧱
砖块	砖块 🧱
砖头	砖头 🧱
铁链	铁链 ⛓️ ⛓️‍💥
铁链子	铁链子 ⛓️ ⛓️‍💥
链子	链子 ⛓️ ⛓️‍💥
链条	链条 ⛓️ ⛓️‍💥
锁链	锁链 ⛓️ ⛓️‍💥
断链	断链 ⛓️‍💥
铁链子断裂	铁链子断裂 ⛓️‍💥
铁链断裂	铁链断裂 ⛓️‍💥
链子断裂	链子断裂 ⛓️‍💥
链条断裂	链条断裂 ⛓️‍💥
锁链断裂	锁链断裂 ⛓️‍💥
吸铁石	吸铁石 🧲
磁力	磁力 🧲
磁石	磁石 🧲
磁铁	磁铁 🧲
水枪	水枪 🔫
滋水枪	滋水枪 🔫
玩具枪	玩具枪 🔫
boom	boom 💣
炸弹	炸弹 💣
炸药	炸药 🧨
爆竹	爆竹 🧨
鞭炮	鞭炮 🧨
斧头	斧头 🪓
斧子	斧子 🪓
刀	刀 🔪
小刀	小刀 🔪
水果刀	水果刀 🔪
菜刀	菜刀 🔪
匕首	匕首 🗡
短刀	短刀 🗡
短剑	短剑 🗡
fight	fight ⚔️
双剑	双剑 ⚔️
双剑交叉	双剑交叉 ⚔️
开始战斗	开始战斗 ⚔️
开战	开战 ⚔️
战斗	战斗 ⚔️
盾牌	盾牌 🛡
一支烟	一支烟 🚬
卷烟	卷烟 🚬
吸烟	吸烟 🚬
抽烟	抽烟 🚬
来一根	来一根 🚬
点烟	点烟 🚬
烟	烟 🚬
烤烟	烤烟 🚬
纸烟	纸烟 🚬
香烟	香烟 🚬
棺材	棺材 ⚰️
灵柩	灵柩 ⚰️
坟墓	坟墓 🪦
墓碑	墓碑 🪦
骨坛	骨坛 ⚱️
骨灰盒	骨灰盒 ⚱️
骨灰缸	骨灰缸 ⚱️
骨瓮	骨瓮 ⚱️
双耳瓶	双耳瓶 🏺
占卜	占卜 🔮
水晶球	水晶球 🔮
念珠	念珠 📿
恶魔之眼	恶魔之眼 🧿
恶魔的眼	恶魔的眼 🧿
恶魔眼	恶魔眼 🧿
法蒂玛	法蒂玛 🪬
法蒂玛之手	法蒂玛之手 🪬
理发店	理发店 💈
理发店招牌	理发店招牌 💈
蒸馏器	蒸馏器 ⚗️
望远镜	望远镜 🔭
显微镜	显微镜 🔬
下水道	下水道 🕳
坑	坑 🕳
洞	洞 🕳
X光	X光 🩻
X光片	X光片 🩻
X射线	X射线 🩻
拍片	拍片 🩻
胸片	胸片 🩻
胸透	胸透 🩻
创口贴	创口贴 🩹
创可贴	创可贴 🩹
听诊器	听诊器 🩺
胶囊	胶囊 💊
药丸	药丸 💊
打针	打针 💉
注射器	注射器 💉
滴血	滴血 🩸
血滴	血滴 🩸
DNA	DNA 🧬
基因	基因 🧬
脱氧核糖核酸	脱氧核糖核酸 🧬
变形虫	变形虫 🦠
微生物	微生物 🦠
病毒	病毒 🦠
细菌	细菌 🦠
培养皿	培养皿 🧫
试管	试管 🧪
温度计	温度计 🌡
扫帚	扫帚 🧹
扫把	扫把 🧹
笤帚	笤帚 🧹
吸把	吸把 🪠
马桶吸	马桶吸 🪠
马桶吸把	马桶吸把 🪠
马桶吸盘	马桶吸盘 🪠
马桶塞	马桶塞 🪠
马桶抽子	马桶抽子 🪠
马桶疏通器	马桶疏通器 🪠
竹篮	竹篮 🧺
篮子	篮子 🧺
菜篮	菜篮 🧺
菜篮子	菜篮子 🧺
卫生纸	卫生纸 🧻
卷纸	卷纸 🧻
纸巾	纸巾 🧻
马桶	马桶 🚽
水龙头	水龙头 🚰
直饮水	直饮水 🚰
饮水处	饮水处 🚰
饮用水	饮用水 🚰
喷头	喷头 🚿
淋浴	淋浴 🚿
浴缸	浴缸 🛁
泡澡	泡澡 🛀
泡澡的人	泡澡的人 🛀
洗澡	洗澡 🛀
洗澡的人	洗澡的人 🛀
肥皂	肥皂 🧼
香皂	香皂 🧼
刷牙	刷牙 🪥
牙刷	牙刷 🪥
刮胡刀	刮胡刀 🪒
剃刀	剃刀 🪒
剃须刀	剃须刀 🪒
手动刮胡刀	手动刮胡刀 🪒
叉梳	叉梳 🪮
梳子	梳子 🪮
海绵	海绵 🧽
清洗	清洗 🧽
圆桶	圆桶 🪣
水桶	水桶 🪣
乳液	乳液 🧴
乳液瓶	乳液瓶 🧴
护肤霜	护肤霜 🧴
沐浴露	沐浴露 🧴
洗发水	洗发水 🧴
洗发露	洗发露 🧴
服务铃	服务铃 🛎
钥匙	钥匙 🔑 🗝
古老的钥匙	古老的钥匙 🗝
复古钥匙	复古钥匙 🗝
旧钥匙	旧钥匙 🗝
老式钥匙	老式钥匙 🗝
老钥匙	老钥匙 🗝
房门	房门 🚪
门	门 🚪
凳子	凳子 🪑
椅子	椅子 🪑
沙发	沙发 🛋
沙发和灯	沙发和灯 🛋
床	床 🛏
床上休息	床上休息 🛌
睡觉的人	睡觉的人 🛌
躺在床上的人	躺在床上的人 🛌
泰迪	泰迪 🧸
泰迪熊	泰迪熊 🧸
俄罗斯套娃	俄罗斯套娃 🪆
套娃	套娃 🪆
一幅画	一幅画 🖼
带框的画	带框的画 🖼
带画框的图片	带画框的图片 🖼
画框	画框 🖼
镜子	镜子 🪞
魔镜	魔镜 🪞
窗户	窗户 🪟
购物袋	购物袋 🛍
手推车	手推车 🛒
购物车	购物车 🛒
包装	包装 🎁
包装盒	包装盒 🎁
礼品	礼品 🎁
礼品盒	礼品盒 🎁
礼物	礼物 🎁
礼物盒	礼物盒 🎁
庆典	庆典 🎈
气球	气球 🎈
鲤鱼旗	鲤鱼旗 🎏
蝴蝶结	蝴蝶结 🎀
魔棒	魔棒 🪄
魔法棒	魔法棒 🪄
皮纳塔	皮纳塔 🪅
五彩纸屑球	五彩纸屑球 🎊
彩色碎纸	彩色碎纸 🎊
恭喜	恭喜 🎊 🎉
碎花彩球	碎花彩球 🎊
祝贺	祝贺 🎊 🎉
糖果球	糖果球 🎊
派对礼宾花	派对礼宾花 🎉
礼宾花	礼宾花 🎉
日本人偶	日本人偶 🎎
日本人形	日本人形 🎎
日本娃娃	日本娃娃 🎎
扇子	扇子 🪭
折扇	折扇 🪭
大红灯笼	大红灯笼 🏮
大红灯笼高高挂	大红灯笼高高挂 🏮
居酒屋	居酒屋 🏮
居酒屋灯笼	居酒屋灯笼 🏮
灯笼	灯笼 🏮
红灯笼	红灯笼 🏮
风铃	风铃 🎐
迪斯科	迪斯科 🪩
镜面球	镜面球 🪩
发红包	发红包 🧧
红包	红包 🧧
信件	信件 ✉️
信封	信封 ✉️
写信	写信 ✉️
收到来信	收到来信 📩 📨
收到邮件	收到邮件 📩 📨 📥
来信	来信 📩 📨
新邮件	新邮件 📨
email	email 📧
电子邮件	电子邮件 📧
邮件	邮件 📧
情书	情书 💌
收件	收件 📥
收件箱	收件箱 📥
收信	收信 📥
收邮件	收邮件 📥
发件	发件 📤
发件箱	发件箱 📤
发信	发信 📤
发邮件	发邮件 📤
包裹	包裹 📦
快递	快递 📦
打包	打包 📦
盒子	盒子 📦
箱子	箱子 📦
纸箱	纸箱 📦
纸箱子	纸箱子 📦
吊牌	吊牌 🏷
标签	标签 🏷
布告	布告 🪧
布告牌	布告牌 🪧
标语	标语 🪧
标语牌	标语牌 🪧
信箱	信箱 📪 📫 📬 📭
邮筒	邮筒 📮
邮箱	邮箱 📮
邮政喇叭	邮政喇叭 📯
卷轴	卷轴 📜
卷边的纸	卷边的纸 📃
带卷边的纸	带卷边的纸 📃
纸	纸 📃 📄
文书	文书 📄
文件	文件 📄
书签标签	书签标签 📑
标签页	标签页 📑
页签	页签 📑
凭据	凭据 🧾
发票	发票 🧾
收据	收据 🧾
账单	账单 🧾
图表	图表 📊
条形图	条形图 📊
柱形图	柱形图 📊
柱状图	柱状图 📊
上升	上升 📈 💹
上涨	上涨 📈 💹
暴涨	暴涨 📈 💹
下跌	下跌 📉
下降	下降 📉
暴跌	暴跌 📉
线圈本	线圈本 🗒
线圈笔记本	线圈笔记本 🗒
线圈日历	线圈日历 🗓
手撕日历	手撕日历 📆
日历	日历 📅
垃圾	垃圾 🗑
垃圾桶	垃圾桶 🗑
垃圾篓	垃圾篓 🗑
废纸篓	废纸篓 🗑
卡片索引	卡片索引 📇
卡牌索引	卡牌索引 📇
