人民币	人民币 ￥
肌肉	肌肉 💪
肱二头	肱二头 💪
肱二头肌	肱二头肌 💪
义体	义体 🦾 🦿
义肢	义肢 🦾 🦿
机械手臂	机械手臂 🦾
机械臂	机械臂 🦾
赛博朋克	赛博朋克 🦾 🦿
中指	中指 🖕
举中指	举中指 🖕
比中指	比中指 🖕
竖中指	竖中指 🖕
写字	写字 ✍️
手写	手写 ✍️
双手合十	双手合十 🙏
合十	合十 🙏
合掌	合掌 🙏
感谢	感谢 🙏
拜托	拜托 🙏
祈求	祈求 🙏
祈祷	祈祷 🙏
谢谢	谢谢 🙏
超度	超度 🙏
阿弥陀佛	阿弥陀佛 🙏
你自己	你自己 🫵
就是你	就是你 🫵
指人	指人 🫵
指你	指你 🫵
指向观察者的食指	指向观察者的食指 🫵
指我	指我 🫵
指着	指着 🫵
指着你	指着你 🫵
食指指向观察者	食指指向观察者 🫵
脚	脚 🦶
脚丫	脚丫 🦶
脚丫子	脚丫子 🦶
足	足 🦶
踢	踢 🦶
踩	踩 🦶
大腿	大腿 🦵
练腿	练腿 🦵
腿	腿 🦵
机械腿	机械腿 🦿
口红	口红 💄
唇膏	唇膏 💄
kiss	kiss 💋
么么	么么 💋
么么哒	么么哒 💋
亲	亲 💋
亲吻	亲吻 💋
亲嘴	亲嘴 💋
吻	吻 💋
吻痕	吻痕 💋
唇	唇 💋 👄
唇印	唇印 💋
红唇	红唇 💋 👄
口	口 👄
嘴	嘴 👄
嘴唇	嘴唇 👄
嘴巴	嘴巴 👄
咬住嘴唇	咬住嘴唇 🫦
咬嘴唇	咬嘴唇 🫦
情调	情调 🫦
诱惑	诱惑 🫦
调情	调情 🫦
牙	牙 🦷
牙牙	牙牙 🦷
牙齿	牙齿 🦷
舌	舌 👅
舌头	舌头 👅
听	听 👂
耳	耳 👂
耳朵	耳朵 👂
助听器	助听器 🦻
听力障碍	听力障碍 🦻
戴助听器的耳朵	戴助听器的耳朵 🦻
呼吸	呼吸 👃
嗅	嗅 👃
闻	闻 👃
鼻	鼻 👃
鼻子	鼻子 👃
脚印	脚印 👣
足迹	足迹 👣
一只眼	一只眼 👁
一只眼睛	一只眼睛 👁
单眼	单眼 👁
眼	眼 👁 👀
眼睛	眼睛 👁 👀
瞳孔	瞳孔 👁
注视	注视 👀
看	看 👀
看看	看看 👀
观察	观察 👀
心脏	心脏 🫀
心脏器官	心脏器官 🫀
吸气	吸气 🫁
呼吸作用	呼吸作用 🫁
肺	肺 🫁
大脑	大脑 🧠
头脑	头脑 🧠
脑	脑 🧠
脑子	脑子 🧠
脑花	脑花 🧠
剪影	剪影 🗣 👤 👥 🫂
头部剪影	头部剪影 🗣
讲话	讲话 🗣
讲话者	讲话者 🗣
讲话者的头部剪影	讲话者的头部剪影 🗣
人物剪影	人物剪影 👤
半身像	半身像 👤 👥
头像	头像 👤
双人	双人 👥
双人像	双人像 👥
抱在一起	抱在一起 🫂
拥抱的人	拥抱的人 🫂
baby	baby 👶 🚼
乖宝	乖宝 👶
乖宝宝	乖宝宝 👶
婴儿	婴儿 👶 🚼
宝宝	宝宝 👶 🚼
小宝贝	小宝贝 👶
女儿	女儿 👧
女孩	女孩 👧
小女孩	小女孩 👧
儿童	儿童 🧒
孩子	孩子 🧒
小孩	小孩 🧒
小孩子	小孩子 🧒
小朋友	小朋友 🧒
儿子	儿子 👦
男孩	男孩 👦
小男孩	小男孩 👦
女人	女人 👩 🧑
妈妈	妈妈 👩 🧑
母亲	母亲 👩 🧑
老妈	老妈 👩 🧑
成年女人	成年女人 👩 🧑
成年女性	成年女性 👩 🧑
男人	男人 👨
爸爸	爸爸 👨
父亲	父亲 👨
老爹	老爹 👨
成年男人	成年男人 👨
成年男性	成年男性 👨
卷发	卷发 👩‍🦱 🧑‍🦱 👨‍🦱 🦱
卷发女	卷发女 👩‍🦱 🧑‍🦱
卷发女人	卷发女人 👩‍🦱 🧑‍🦱
卷发女子	卷发女子 👩‍🦱 🧑‍🦱
卷发男	卷发男 👨‍🦱
卷发男人	卷发男人 👨‍🦱
卷发男子	卷发男子 👨‍🦱
赤发	赤发 👩‍🦰 🧑‍🦰 👨‍🦰 🦰
红发	红发 👩‍🦰 🧑‍🦰 👨‍🦰 🦰
红头发	红头发 👩‍🦰 🧑‍🦰 👨‍🦰 🦰
红色头发	红色头发 👩‍🦰 🧑‍🦰 👨‍🦰 🦰
红发女	红发女 👩‍🦰 🧑‍🦰
红发女人	红发女人 👩‍🦰 🧑‍🦰
红发女子	红发女子 👩‍🦰 🧑‍🦰
红发男	红发男 👨‍🦰
红发男人	红发男人 👨‍🦰
红发男子	红发男子 👨‍🦰
金发	金发 👱‍♀️ 👱 👱‍♂️
金色头发	金色头发 👱‍♀️ 👱 👱‍♂️
金发女	金发女 👱‍♀️ 👱
金发女人	金发女人 👱‍♀️ 👱
金发女子	金发女子 👱‍♀️ 👱
金发男	金发男 👱‍♂️
金发男人	金发男人 👱‍♂️
金发男子	金发男子 👱‍♂️
白发	白发 👩‍🦳 🧑‍🦳 👨‍🦳 🦳
白色头发	白色头发 👩‍🦳 🧑‍🦳 👨‍🦳 🦳
白发女	白发女 👩‍🦳 🧑‍🦳
白发女人	白发女人 👩‍🦳 🧑‍🦳
白发女子	白发女子 👩‍🦳 🧑‍🦳
白发男	白发男 👨‍🦳
白发男人	白发男人 👨‍🦳
白发男子	白发男子 👨‍🦳
光头	光头 👩‍🦲 🧑‍🦲 👨‍🦲 🦲
头秃	头秃 👩‍🦲 🧑‍🦲 👨‍🦲 🦲
秃头	秃头 👩‍🦲 🧑‍🦲 👨‍🦲 🦲
秃顶	秃顶 👩‍🦲 🧑‍🦲 👨‍🦲 🦲
脱发	脱发 👩‍🦲 🧑‍🦲 👨‍🦲 🦲
光头女	光头女 👩‍🦲 🧑‍🦲
光头女人	光头女人 👩‍🦲 🧑‍🦲
光头女子	光头女子 👩‍🦲 🧑‍🦲
尼姑	尼姑 👩‍🦲 🧑‍🦲
光头男	光头男 👨‍🦲
光头男人	光头男人 👨‍🦲
光头男子	光头男子 👨‍🦲
和尚	和尚 👨‍🦲
胡子女	胡子女 🧔‍♀️ 🧔
有胡子的女人	有胡子的女人 🧔‍♀️ 🧔
有胡须的女人	有胡须的女人 🧔‍♀️ 🧔
长胡子的女人	长胡子的女人 🧔‍♀️ 🧔
长胡须的女人	长胡须的女人 🧔‍♀️ 🧔
络腮胡	络腮胡 🧔‍♂️
大叔	大叔 🧔‍♂️
胡子	胡子 🧔‍♂️
胡须	胡须 🧔‍♂️
